,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317280627.3228291,675377175.262824,-4361604.1524406355,407918938760.70703,-646343370915.0586,-6453738982.43046,-1358812424825.7356,341007647740.61914,48139379889.954384,-9.11695946489107,-5.3388503893332135,0.7786442007704084,10888.70864743178,7593.3242862342595,-273.44730117520277,-2867.052376125151,-9390.690379857291,275.3865262402268
1,86415.77505933905,-318068475.0923086,674915812.2209917,-4294317.031477376,408859442849.83966,-645686472152.6696,-6477361997.17505,-1359059938729.3337,340196082715.4055,48163168959.01904,-9.11692823374862,-5.33890008449211,0.778643711146495,10878.24071622585,7609.887518464603,-273.2818142680952,-2861.3901403171094,-9392.107075076918,275.1858309538997
2,172831.5501186781,-318856320.15951717,674454444.8864517,-4227029.952908384,409799041209.8018,-645028142646.2197,-6500970683.55022,-1359306963304.702,339384395417.1046,48186940681.37786,-9.116896923750076,-5.338949739407172,0.7786432196008006,10867.74652401202,7626.4373084771,-273.1156865248146,-2855.7274018635285,-9393.520258729943,274.98505543987415
3,259247.32517801714,-319644162.51764226,673993073.2626873,-4159742.9168997174,410737731571.82385,-644368383559.2482,-6524564986.183023,-1359553498508.5002,338572586149.1664,48210695050.101845,-9.116865534936837,-5.338999353945022,0.7786427261336998,10857.22608460191,7642.9736118649,-272.9489180711588,-2850.0641630172468,-9394.929930927996,274.784199789588
4,345663.1002373562,-320432002.159875,673531697.3531936,-4092455.923617393,411675511668.4219,-643707196059.087,-6548144849.713625,-1359799544297.585,337760655215.0292,48234432058.269936,-9.116834067350537,-5.339048927972298,0.7786422307455724,10846.679411886067,7659.496384227823,-272.7815090347136,-2844.4004260304587,-9396.336091784204,274.5832640944791
5,432078.8752966953,-321219839.07941645,673070317.1614735,-4025168.9732272453,412612379235.3376,-643044581315.853,-6571710218.842701,-1360045100629.0078,336948602918.0772,48258151698.96984,-9.11680252103286,-5.339098461356063,0.7786417334368007,10836.106519769019,7676.005581305822,-272.61345954395154,-2838.736193153566,-9397.738741413246,274.38224844594083
6,518494.6503560343,-322007673.2694653,672608932.6910446,-3957882.065895215,413548332007.6254,-642380540504.3424,-6595261038.236391,-1360290167460.016,336136429561.7251,48281853965.29648,-9.116770896025882,-5.339147953963026,0.7786412342077749,10825.50742228875,7692.501158722417,-272.4447697298437,-2833.0714666373674,-9399.137879931308,274.18115293540797
7,604910.4254153734,-322795504.72322106,672147543.9454371,-3890595.2017872836,414483367720.5175,-641715074803.7268,-6618797252.54685,-1360534744748.0505,335324135449.40015,48305538850.352234,-9.116739192372036,-5.33919740565969,0.7786407330588918,10814.882133599971,7708.983072030885,-272.2754397256761,-2827.406248732677,-9400.53350745605,273.9799776543414
8,691326.2004747124,-323583333.433887,671686150.9281929,-3823308.38106939,415417484110.5903,-641048185396.9949,-6642318806.440546,-1360778832450.7458,334511720884.51697,48329206347.24741,-9.116707410113996,-5.3392468163125715,0.778640229990554,10804.230667939002,7725.451276790178,-272.1054696665782,-2821.7405416896795,-9401.925624106616,273.7787226942023
9,777741.9755340514,-324371159.3946706,671224753.6428654,-3756021.603907431,416350678915.7643,-640379873470.9517,-6665825644.598263,-1361022430525.9302,333699186170.47784,48352856449.10025,-9.116675549294682,-5.339296185788204,0.7786397250031696,10793.553039623783,7741.9057285649305,-271.93485968952297,-2816.0743477579294,-9403.314230003642,273.5773881464527
