,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317277873.91411984,675377363.930282,-4361167.810118856,407918938285.55493,-646343374495.8065,-6453737836.0899515,-1358812425398.5146,341007649590.20917,48139380209.46847,-9.76485078715797,-4.788938734337145,0.46923888002749625,10888.006372143027,7593.149240384191,-273.09408575775666,-2863.8895011871173,-9390.4389308772,277.62332278195794
1,86415.77505933905,-318121709.71436733,674963521.9303304,-4320618.18975501,408859381687.0617,-645686490860.1638,-6477330327.4728985,-1359059665979.7896,340196106294.14185,48163362573.02485,-9.764819556019255,-4.788988429493569,0.4692383904059109,10877.53844216538,7609.712471796855,-272.92859961931305,-2858.2272641681125,-9391.855626521015,277.4226269708606
2,172831.5501186781,-318965542.81234455,674549675.6376716,-4280068.611785036,409798919359.59827,-645028176480.6012,-6500908490.617642,-1359306417232.622,339384440724.9137,48187327589.784515,-9.764788246031069,-4.789038084401233,0.46923789886708756,10867.044253355301,7626.262259361525,-272.7624741442907,-2852.5645220205633,-9393.268811451655,277.2218498784658
3,259247.32517801714,-319809373.20123947,674135825.0557892,-4239519.076374596,410737549034.5826,-644368432520.7987,-6524472270.280846,-1359552679113.4585,338572653185.9011,48211275252.72742,-9.764756857234831,-4.789087698926795,0.469237405411403,10856.523819530235,7642.798558684332,-272.59570945926623,-2846.9012769958986,-9394.678485776103,277.02099159625436
4,345663.1002373562,-320653200.87424356,673721970.1881788,-4198969.583689321,411675268444.633,-643707260148.2709,-6548021611.230253,-1359798451578.9395,337760743980.47125,48235205554.841446,-9.764725389672206,-4.789137272936917,0.4692369100392395,10845.977154589256,7659.321325372323,-272.4283056926372,-2841.2375313449575,-9396.084649602846,276.82005221571006
5,432078.8752966953,-321497025.8245573,673308111.0383446,-4158420.1338946805,412612075325.32245,-643044660533.463,-6571556458.287431,-1360043734585.9019,336948713411.9433,48259118489.1231,-9.764693843384922,-4.789186806298622,0.46923641275098243,10835.404272455293,7675.830515152435,-272.26026297382106,-2835.5732873169695,-9397.487303041906,276.61903182827905
6,518494.6503560343,-322340848.04538447,672894247.609802,-4117870.727156114,413547967413.3634,-642380634850.5615,-6595076756.284061,-1360288528091.379,336136561783.6276,48283014048.576866,-9.76466221841494,-4.789236298878955,0.46923591354702204,10824.805187124479,7692.326083759777,-272.091581433898,-2829.9085471604967,-9398.886446204837,276.41793052540794
7,604910.4254153734,-323184667.5299245,672480379.9060819,-4077321.363639221,414482942443.9976,-641715184278.9274,-6618582449.997987,-1360532832052.5967,335324289398.88306,48306892226.21406,-9.764630514804711,-4.789285750544433,0.4692354124277577,10814.179912759657,7708.807986752428,-271.9222612069374,-2824.2433131250377,-9400.282079204668,276.216748398606
8,691326.2004747124,-324028484.2713809,672066507.930727,-4036772.0435095606,415416998153.81,-641048310001.7427,-6642073484.22137,-1360776646426.9749,334511896561.0564,48330753015.0539,-9.764598732596937,-4.789335161161587,0.46923490939359414,10803.528463605657,7725.276179693643,-271.7523024288549,-2818.577587459472,-9401.674202155902,276.01548553938386
9,777741.9755340514,-324872298.262961,671652631.687291,-3996222.7669326477,416350132280.7428,-640380013206.0029,-6665549803.761042,-1361019971172.1267,333699383573.48236,48354596408.12355,-9.764566871834564,-4.789384530596964,0.46923440444494174,10792.850853988855,7741.730618152795,-271.58170523740614,-2812.9113724120534,-9403.062815174533,275.81414203925294
