,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317279319.5684709,675377130.7576572,-4361855.136249943,407918938669.39655,-646343372180.847,-6453738387.564201,-1358812425106.606,341007649634.3593,48139380830.30166,-10.203386543835094,-6.384740722844988,1.143773690075103,10888.883199803566,7595.0217815633705,-275.7982579427587,-2866.658008521607,-9390.129840806745,277.4485212967804
1,86415.77505933905,-318161051.7760223,674825386.2920271,-4263015.067471659,408859457842.4866,-645686326728.0393,-6477564561.973041,-1359059904930.6157,340196133048.55005,48163348088.2578,-10.203355312679962,-6.384790418008458,1.1437732004421022,10878.415264371813,7611.585015321475,-275.6327680061243,-2860.9957724810456,-9391.546536446906,277.24782568247014
2,172831.5501186781,-319042781.2813007,674273637.5336888,-4164175.041089218,409799071285.6716,-645027850530.909,-6501376407.486913,-1359306895426.3535,339384494189.581,48187297999.45176,-10.203324002643077,-6.384840072937042,1.1437727088690097,10867.92105938377,7628.134809851307,-275.4666311287361,-2855.333033291692,-9392.959721357285,277.04704919266516
3,259247.32517801714,-319924508.0774912,673721884.4861244,-4065335.0572702624,410737776729.4433,-644367944752.7397,-6525173868.20523,-1359553396550.4363,338572733360.8299,48211230556.89857,-10.203292613765832,-6.384889687497181,1.1437722153561913,10857.400598648055,7644.671120686459,-275.2998474336508,-2849.6697932037987,-9394.369395648695,276.8461919188055
4,345663.1002373562,-320806232.15778345,673170127.1528281,-3966495.1161823743,411675571905.80383,-643706610560.5006,-6548956888.245816,-1359799408259.676,337760850865.6579,48235145753.62129,-10.203261146089833,-6.384939261555385,1.1437717199040187,10846.85389604534,7661.193903382324,-275.1324170456365,-2844.006054466845,-9395.775559433441,276.64525395232647
5,432078.8752966953,-321687953.51537514,672618365.5373026,-3867655.2179929963,412612454549.42175,-643043849124.2192,-6572725411.773544,-1360044930511.081,336948847007.3845,48259043582.65154,-10.203229599656781,-6.384988794978471,1.1437712225128662,10836.280965487189,7677.703113598785,-274.9643400905953,-2838.3418193288257,-9397.17821282538,276.44423538463116
6,518494.6503560343,-322569672.14346117,672066599.6430655,-3768815.362869696,413548422394.02966,-642379661618.7587,-6596479382.911887,-1360289963261.8538,336136722089.3649,48282924037.028,-10.20319797450881,-6.3850382876328515,1.143770723183117,10825.681821029355,7694.198706859112,-274.7956166970943,-2832.677090038306,-9398.57735593985,276.24313630717086
7,604910.4254153734,-323451388.03523904,671514829.4736462,-3669975.5509800315,414483473174.26544,-641714049223.0101,-6620218745.787702,-1360534506469.39,335324476414.9515,48306787109.79711,-10.203166270688337,-6.385087739384868,1.1437702219151595,10815.056476822367,7710.680638663894,-274.6262469957351,-2827.0118688434623,-9399.972988893658,276.0419568114072
8,691326.2004747124,-324333101.1839104,670963055.0325859,-3571135.7824915187,415417604626.1007,-641047013119.6885,-6643943444.541711,-1360778560091.2786,334512110287.48413,48330632794.013245,-10.203134488238025,-6.38513715010088,1.1437697187093885,10804.404947098656,7727.148864519053,-274.4562311189821,-2821.3461579918458,-9401.365111805108,275.84069698880256
9,777741.9755340514,-325214811.5826809,670411276.3234372,-3472296.057571632,416350814486.8405,-640378554495.3318,-6667653423.328506,-1361022124085.3035,333699624010.2908,48354461082.73866,-10.203102627200785,-6.3851865196472595,1.1437692135662039,10793.727246172552,7743.603339935841,-274.28556920116284,-2815.6799597303825,-9402.753724793974,275.63935693082016
10,864157.7505933905,-326096519.22475994,669859493.3497641,-3373456.376387805,417283100495.1236,-639708674540.302,-6691348626.316546,-1361265198409.4412,332887017886.68695,48378271969.04358,-10.203070687619775,-6.385235847890398,1.1437687064860116,10783.02338844029,7760.044020430841,-274.11426137846775,-2810.013276305373,-9404.138827981524,275.43793672892406
11,950573.5256527296,-326978224.10336125,669307706.1151421,-3274616.7391074304,418214460390.92224,-639037374448.7843,-6715028997.688157,-1361507783021.8625,332074292219.9761,48402065446.0061,-10.203038669538392,-6.3852851346967,1.1437681974692229,10772.293388380005,7776.470861525965,-273.94230778895036,-2804.3461099624915,-9405.5204214905,275.23643647457914
12,1036989.3007120686,-327859926.21170235,668755914.6231582,-3175777.1458978583,419144891915.5424,-638364655418.7876,-6738694481.639531,-1361749877880.9314,331261447313.4493,48425841506.712265,-10.20300657300029,-6.385334379932589,1.1437676865162543,10761.537260551735,7792.88381874846,-273.7697085725272,-2798.678462946788,-9406.898505445135,275.03485625925106
13,1123405.0757714077,-328741625.54300475,668204118.8774109,-3076937.596926398,420074392811.62354,-637690518652.1442,-6762345022.380731,-1361991482945.2063,330448483470.38556,48449600144.25603,-10.202974398049356,-6.385383583464502,1.1437671736275283,10750.755019597424,7809.2828476309,-273.59646387097763,-2793.0103375026856,-9408.27307997114,274.8331961744064
14,1209820.8508307468,-329623322.0904941,667652318.88151,-2978098.0923603177,421002960823.13873,-637014965354.5103,-6785980564.135682,-1362232598173.439,329635400994.0515,48473341351.73926,-10.202942144729736,-6.3854327451588935,1.1437666588034734,10739.946680240908,7825.667903711188,-273.4225738279442,-2787.341735873983,-9409.64414519571,274.6314563115125
15,1296236.6258900857,-330505015.84739995,667100514.6390773,-2879258.6323668445,421930593695.3946,-636337996735.3651,-6809601051.142182,-1362473223524.5747,328822200187.7018,48497065122.271736,-10.202909813085814,-6.385481864882233,1.1437661420445226,10729.112257287936,7842.038942532565,-273.2480385889324,-2781.6726603038533,-9411.011701247526,274.42963676203766
16,1382652.4009494248,-331386706.8069559,666548706.1537455,-2780419.2171131633,422857289175.03143,-635659614008.0118,-6833206427.651893,-1362713358957.7527,328008881354.57855,48520771448.97119,-10.202877403162221,-6.385530942501005,1.1437656233511158,10718.251765626152,7858.395919643594,-273.0728583013107,-2776.0031130348434,-9412.375748256749,274.22773761745077
17,1469068.176008764,-332268394.9623994,665996893.429159,-2681579.8467664174,423783045010.02313,-634979818389.577,-6856796637.930346,-1362953004432.3062,327195444797.91187,48544460324.96323,-10.202844915003837,-6.385579977881714,1.1437651027236975,10707.365220225105,7874.738790598176,-272.8970331143106,-2770.3330963088756,-9413.736286355026,274.0257589692218
18,1555483.9510681028,-333150080.3069722,665445076.468974,-2582740.5214937106,424707858949.677,-634298611101.0106,-6880371626.256937,-1363192159907.7617,326381890820.9197,48568131743.38141,-10.202812348655785,-6.385628970890876,1.143764580162718,10696.452636136246,7891.067510955538,-272.7205631790266,-2764.6626123672463,-9415.093315675484,273.82370090882137
19,1641899.726127442,-334031762.8339197,664893255.2768575,-2483901.241462103,425631728744.6342,-633615993367.0865,-6903931336.9249325,-1363430825343.8394,325568219726.8075,48591785697.36719,-10.202779704163435,-6.385677921395024,1.1437640556686337,10685.514028492924,7907.38203628024,-272.54344864841613,-2758.991663450626,-9416.446836352734,273.621563527721
