,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317279311.5417596,675378577.1540359,-4361933.401258807,407918938036.9456,-646343372197.881,-6453739695.47223,-1358812424008.9531,341007649626.36957,48139380745.97402,-9.622980075521781,-5.601597662366272,1.074678253564315,10888.03668383095,7593.4144713134465,-275.03880274692443,-2866.300488695738,-9389.922814200123,276.63002399880037
1,86415.77505933905,-318110887.47450274,674894508.6029596,-4269064.268179586,408859384057.8134,-645686465642.06,-6477500240.997786,-1359059872937.6091,340196150930.92816,48163277272.85566,-9.622948844378216,-5.601647357527086,1.0746777639340759,10877.568752251143,7609.977704186212,-274.87331373142575,-2860.638252629028,-9391.339509728119,276.42932851979697
2,172831.5501186781,-318942460.7049747,674410435.7591753,-4176195.177495726,409798924349.4373,-645028128342.0667,-6501246457.790266,-1359306832537.9895,339384529962.34625,48187156452.99855,-9.622917534375715,-5.601697012447943,1.0746772723694558,10867.074558710226,7626.527496139232,-274.7071796798469,-2854.9755133868343,-9392.752694305515,276.22855243705806
3,259247.32517801714,-319774031.2263627,673926358.6261661,-4083326.12937437,410737556642.9653,-644368361461.328,-6524978290.113713,-1359553302766.7092,338572787024.0206,48211018279.441216,-9.622886145555658,-5.601746626995448,1.074676778870823,10856.554117014122,7643.063802760772,-274.540400716127,-2849.312273220179,-9394.162368043037,276.0276958420017
4,345663.1002373562,-320605599.0318583,673442277.207426,-3990457.1239826125,411675278671.0133,-643707166166.9733,-6548695682.249613,-1359799283580.5781,337760922419.3324,48234862745.23018,-9.622854677959648,-5.601796201036263,1.0746762834385517,10846.007441041877,7659.586579658047,-274.372976965924,-2843.648534379338,-9395.568531052915,275.82675882604207
5,432078.8752966953,-321437164.11466134,672958191.5064585,-3897588.1614873963,412612088168.9846,-643044543629.1262,-6572398578.529428,-1360044774936.602,336948936451.6184,48258689843.42055,-9.622823131629367,-5.60184573443739,1.0746757860730192,10835.434544699456,7676.095782550596,-274.2049085559688,-2837.9842991130336,-9396.971183448926,275.6257414805583
6,518494.6503560343,-322268726.4679688,672474101.5267813,-3804719.24205579,413547982871.3321,-642380495022.7448,-6596086923.243111,-1360289776791.982,336136829424.2516,48282499567.074524,-9.622791506606934,-5.601895227065415,1.0746752867746105,10824.835442036852,7692.591367020992,-274.0361956156492,-2832.319569670562,-9398.370325346332,275.4246438969779
7,604910.4254153734,-323100286.0849803,671990007.2719244,-3711850.3658548575,414482960513.327,-641715021526.8517,-6619760660.6819725,-1360534289104.111,335324601640.60376,48306291909.262024,-9.622759802934752,-5.601944678786842,1.0746747855437175,10814.210147201242,7709.073288623427,-273.8668382764136,-2826.6543483008813,-9399.765956861871,275.2234661667406
8,691326.2004747124,-323931842.95889926,671505908.745429,-3618981.5330516216,415417018831.5755,-641048124324.2886,-6643419735.151293,-1360778311830.5771,334512253404.0346,48330066863.06088,-9.62272802065548,-5.601994089468191,1.0746742823807367,10803.55867442145,7725.5415029174565,-273.69683667156363,-2820.9886372523233,-9401.158078113767,275.0222083812866
9,777741.9755340514,-324763397.0829331,671021805.9508485,-3526112.743813064,416350155564.01825,-640379804601.7158,-6667064090.970318,-1361021844929.1614,333699785017.89136,48353824421.55683,-9.62269615981201,-5.602043458975997,1.074673777286071,10792.881038007954,7741.995965467997,-273.5261909362539,-2815.322438772593,-9402.546689221732,274.82087063205705
10,864157.7505933905,-325594948.4502935,670537698.8917469,-3433243.9983061235,417282368449.9307,-639710063549.6118,-6690693672.472262,-1361264888357.839,332887196785.5092,48377564577.843544,-9.62266422044749,-5.60209278717681,1.0746732702601283,10782.177252352869,7758.436631845329,-273.3549012074923,-2809.655755108771,-9403.931790306955,274.61945301049377
11,950573.5256527296,-326426497.05419576,670053587.5717001,-3340375.2966976985,418213655229.92316,-639038902362.274,-6714308424.00431,-1361507442074.779,332074489010.211,48401287325.02259,-9.622632202605308,-5.602142073937199,1.0746727613033225,10771.447331929963,7774.863457625096,-273.1829676241398,-2803.98858850731,-9405.313381492117,274.4179556080393
12,1036989.3007120686,-327258042.8878594,669569471.9942955,-3247506.639154645,419144013645.9406,-638366322237.8185,-6737908289.92761,-1361749506038.344,331261661995.30725,48424992656.203476,-9.622600106329099,-5.6021913191237465,1.0746722504160724,10760.691291294648,7791.276398388304,-273.0103903269104,-2798.3209412140386,-9406.691462901377,274.2163785161369
13,1123405.0757714077,-328089585.944508,669085352.1631318,-3154638.0258437777,420073441441.26276,-637692324378.1794,-6761493214.617283,-1361991080207.0906,330448716044.09644,48448680564.50362,-9.622567931662738,-5.6022405226030525,1.0746717375988035,10749.90914508398,7807.675409721324,-272.8371694583715,-2792.652815474158,-9408.066034660385,274.0147218262306
14,1209820.8508307468,-328921126.217369,668601228.0818195,-3061769.4569318686,421001936360.50397,-637016909989.1102,-6785063142.462414,-1362232164539.7686,329635651459.86456,48472351043.04833,-9.622535678650355,-5.6022896842417325,1.0746712228519457,10739.10090801667,7824.060447215887,-272.6633051629433,-2786.984213532245,-9409.43709689627,273.812985629765
15,1296236.6258900857,-329752663.69967395,668117099.7539802,-2968900.9325856497,421929496149.6135,-636340080280.1824,-6808618017.866058,-1362472758995.3223,328822468545.88556,48496004084.97087,-9.622503347336316,-5.6023388039064175,1.074670706175935,10728.266594893066,7840.431466469089,-272.4887975868994,-2781.3151376322494,-9410.804649737649,273.6111700181858
16,1382652.4009494248,-330584198.3846583,667632967.1832469,-2876032.4529718095,422856118555.87537,-635661836464.7861,-6832157785.245237,-1362712863532.8894,328009167605.421,48519639683.4124,-9.622470937765238,-5.6023878814637555,1.074670187571213,10717.406220595169,7856.78842308339,-272.3136468783664,-2775.645590017494,-9412.168693314623,273.4092750829391
17,1469068.176008764,-331415730.2655615,667148830.3732646,-2783164.018256997,423781801327.90814,-634982179760.1302,-6855682389.030941,-1362952478111.8015,327195748941.72034,48543257831.52199,-9.62243844998198,-5.60243691678041,1.074669667038227,10706.51980008662,7873.131272666609,-272.137853187324,-2769.9755729306785,-9413.529227758772,273.20730091547176
18,1555483.9510681028,-332247259.3356272,666664689.327689,-2690295.628607819,424706542215.6652,-634301111387.2423,-6879191773.668129,-1363191602691.584,326382212858.0205,48566858522.45664,-9.622405884031648,-5.602485909723061,1.0746691445774292,10695.607348412716,7889.459970831934,-271.96141666560527,-2764.305088613874,-9414.886253203173,273.0052476072315
19,1641899.726127442,-333078785.58810276,666180544.0501883,-2597427.2841908373,425630338970.43475,-633618632570.9684,-6902685883.615726,-1363430237231.956,325568559657.5465,48590441749.38127,-9.622373239959593,-5.602534860158405,1.0746686201892783,10684.668880700392,7905.77447319791,-271.78433746689615,-2758.634139308527,-9416.239769782373,272.80311524966675
20,1728315.501186781,-333910309.01623976,665696394.5444411,-2504558.985172577,426553189344.8396,-632934744539.9729,-6926164663.346627,-1363668381692.8306,324754789643.5109,48614007505.4687,-9.622340517811411,-5.602583767953153,1.0746680938742377,10673.704412158235,7922.07473538845,-271.6066157467357,-2752.9627272554576,-9417.589777632411,272.6009039342266
21,1814731.27624612,-334741829.61329377,665212240.8141382,-2411690.731719519,427475091092.83746,-632249448526.739,-6949628057.347694,-1363906036034.314,323940903119.1142,48637555783.89967,-9.622307717632944,-5.602632632974032,1.0746675656327769,10662.713958076474,7938.360713032827,-271.4282516625164,-2747.29085469486,-9418.936276890812,272.398613752361
22,1901147.051305459,-335573347.37252414,664728082.8629816,-2318822.523998102,428396041969.72064,-631562745767.5687,-6973076010.119756,-1364143200216.7073,323126900387.5443,48661086577.86286,-9.622274839470279,-5.602681455087788,1.074667035465371,10651.69753382699,7954.632361765678,-271.2492453734836,-2741.618523866303,-9420.279267696584,272.19624479552044
23,1987562.8263647982,-336404862.28719455,664243920.6946846,-2225954.362174725,429316039732.1162,-630874637502.5823,-6996508466.177611,-1364379874200.5042,322312781751.97723,48684599880.55483,-9.622241883369744,-5.6027302341611795,1.0746665033724998,10640.655154863303,7970.889637227004,-271.0695970407358,-2735.945737008728,-9421.618750190217,271.99379715515624
24,2073978.6014241371,-337236374.3505724,663759754.3129723,-2133086.2464157445,430235082137.9861,-630185124975.7185,-7019925370.050025,-1364616057946.3928,321498547515.5766,48708095685.18009,-9.622208849377921,-5.602778970060983,1.0746659693546503,10629.58683672059,7987.1324950621665,-270.88930682722486,-2730.272496360452,-9422.954724513686,271.79127092272057
25,2160394.3764834763,-338067883.55592924,663275583.7215812,-2040218.1768874729,431153166946.6268,-629494209434.7351,-7043326666.279731,-1364851751415.2551,320684197981.4937,48731573984.95104,-9.622175737541628,-5.602827662653991,1.0746654334123134,10618.492595015665,8003.360890921893,-270.70837489775545,-2724.5988041591654,-9424.287190810453,271.5886661896661
26,2246810.1515428154,-338899389.8965406,662791408.9242591,-1947350.1537561852,432070291918.6696,-628801892131.2081,-7066712299.423431,-1365086954568.1667,319869733452.8678,48755034773.08802,-9.622142547907936,-5.6028763118070115,1.0746648955459865,10607.372445446992,8019.5747804622715,-270.52680141898566,-2718.9246626419326,-9425.616149225463,271.3859830474465
27,2333225.9266021545,-339730893.36568594,662307229.9247653,-1854482.1771881115,432986454816.0806,-628108174320.5322,-7090082214.051794,-1365321667366.3967,319055154232.8257,48778478042.81926,-9.622109280524157,-5.6029249173868685,1.0746643557561726,10596.226403794682,8035.774119344755,-270.3445865594265,-2713.2500740451924,-9426.941599905145,271.1832215875159
28,2419641.7016614936,-340562393.9566489,661823046.7268708,-1761614.247349442,433901653402.16064,-627413057261.9208,-7113436354.749458,-1365555889771.4087,318240460624.48206,48801903787.380936,-9.622075935437847,-5.602973479260402,1.0746638140433795,10585.054485920495,8051.958863236158,-270.1617304894423,-2707.5750406047573,-9428.263542997416,270.98038190132934
29,2506057.4767208323,-341393891.66271687,661338859.3343577,-1668746.3644063245,434815885441.54517,-626716542218.4056,-7136774666.115028,-1365789621744.8591,317425652930.9392,48825312000.01711,-9.62204251269681,-5.603021997294468,1.0746632704081214,10573.856707767833,8068.12896780866,-269.97823338125033,-2701.8995645558134,-9429.581978651671,270.7774640803425
30,2592473.2517801714,-342225386.4771815,660854667.75102,-1575878.5285248654,435729148700.2044,-626018630456.8373,-7160097092.761077,-1366022863248.5989,316610731455.28735,48848702673.9798,-9.622009012349096,-5.603070471355941,1.0746627248509177,10562.633085361744,8084.284388739801,-269.7940954089212,-2696.2236481329223,-9430.896907018796,270.5744682160119
31,2678889.0268395105,-343056878.3933382,660370471.9806628,-1483010.739871129,436641440945.4435,-625319323247.8846,-7183403579.314146,-1366255614244.6724,315795696500.6044,48872075802.52889,-9.621975434442998,-5.603118901311707,1.0746621773722935,10551.38363480893,8100.425081712488,-269.60931674837843,-2690.547293570018,-9432.208328251156,270.37139439979467
32,2765304.8018988497,-343888367.4044866,659886272.027103,-1390142.9986111382,437552759945.90204,-624618621866.0356,-7206694070.414744,-1366487874695.3179,314980548369.9559,48895431378.93223,-9.621941779027054,-5.603167287028672,1.074661627972779,10540.108372297731,8116.551002414985,-269.42389757739886,-2684.8705031004097,-9433.516242502605,270.16824272314875
33,2851720.576958189,-344719853.50393015,659402067.8941684,-1297275.304910875,438463103471.5546,-623916527589.5962,-7229968510.717348,-1366719644562.9675,314165287366.39526,48918769396.465546,-9.62190804615005,-5.603215628373755,1.0746610766529108,10528.807314098138,8132.6621065409245,-269.2378380756124,-2679.19327895678,-9434.820649928479,269.9650132775328
34,2938136.352017528,-345551336.6849764,658917859.585699,-1204407.658936278,439372469293.7104,-623213041700.6913,-7253226844.890404,-1366950923810.247,313349913792.96375,48942089848.41251,-9.621874235861014,-5.603263925213895,1.0746605234132305,10517.480476561788,8148.7583497893,-269.051138424502,-2673.515623371186,-9436.121550685599,269.76170615440617
35,3024552.127076867,-346382816.94093686,658433647.1055458,-1111540.0608532447,440280855185.01337,-622508165485.2643,-7276469017.6163225,-1367181712399.976,312534427952.6901,48965392728.064705,-9.621840348209224,-5.603312177416043,1.074659968254285,10506.127876121966,8164.839687864468,-268.86379880740395,-2667.8375385750587,-9437.41894493227,269.55832144522907
36,3110967.9021362057,-347214294.2651318,657949430.4575688,-1018672.5108275235,441188258920.9757,-621801900232.1809,-7299694973.629618,-1367412010295.166,311718830148.55743,48988678028.72211,-9.621806383244037,-5.60336038484745,1.0746594111766252,10494.749529241091,8180.906076570544,-268.67581940872475,-2662.1590267983947,-9438.712832828238,269.35485924142927
37,3197383.677195545,-348045768.6509404,657465209.6456068,-925805.009023431,442094678296.83264,-621094247223.3357,-7322904658.136175,-1367641817458.9954,310903120683.1301,49011945743.6986,-9.621772341013168,-5.603408547378793,1.0746588521807787,10483.34545183135,8196.957472850729,-268.48720040529395,-2656.4800902608617,-9440.003214534163,269.1513196340399
38,3283799.452254884,-348877240.09169686,656980984.673539,-832937.555606482,443000111092.73724,-620385207754.0173,-7346098015.947721,-1367871133854.8582,310087299859.3203,49035195866.310616,-9.62173822156626,-5.603456664877718,1.074658291267304,10471.91566044985,8212.993832641265,-268.2979419841936,-2650.8007311901515,-9441.290090212666,268.94770271444685
39,3370215.227314223,-349708708.5807195,656496755.5452683,-740070.1507426376,443904555083.6103,-619674783127.3177,-7369274991.7260475,-1368099959446.3496,309271367980.1736,49058428389.88029,-9.62170402495392,-5.603504737210641,1.074657728436776,10460.460171972822,8229.015111467814,-268.1080443379448,-2645.12095181691,-9442.57346002801,268.7440085741819
40,3456631.002373562,-350540174.11133176,656012522.2647084,-647202.7945977906,444808008046.0871,-618962974650.0902,-7392435530.155665,-1368328294197.2556,308455325348.71655,49081643307.73765,-9.621669751227,-5.603552764244027,1.0746571636897753,10448.9790033589,8245.021264872094,-267.91750766098374,-2639.4407543710927,-9443.853324145894,268.54023730477405
41,3543046.7774329013,-351371636.6768623,655528284.8357844,-554335.4873377666,445710467758.5172,-618249783632.9491,-7415579575.943808,-1368556138071.554,307639172267.9567,49104840613.220695,-9.6216354004366,-5.603600745844387,1.074656597026888,10437.47217164912,8261.01224841187,-267.7263321496612,-2633.760141081965,-9445.129682733448,268.33638899774957
42,3629462.55249224,-352203096.2706449,655044043.2624332,-461468.22912832315,446611932000.9646,-617535211390.27,-7438707073.820427,-1368783491033.4128,306822909040.8827,49128020299.67533,-9.621600972634072,-5.6036486818782825,1.0746560284487068,10425.939693966924,8276.988017660964,-267.53451800224275,-2628.0791141780983,-9446.40253595924,268.132463744632
43,3715878.327551579,-353034552.88601846,654559797.5486023,-368601.0201351482,447512398555.2076,-616819259240.1898,-7461817968.538194,-1369010353047.1921,306006535970.464,49151182360.45541,-9.621566467871006,-5.60369657221232,1.074655457955829,10414.381587518157,8292.948528209254,-267.3420654189089,-2622.397675887376,-9447.671883993262,267.92846163694225
44,3802294.102610918,-353866006.516327,654075547.698251,-275733.8605238639,448411865204.7389,-616101928504.6062,-7484912204.872502,-1369236724077.4426,305190053359.6511,49174326788.92268,-9.621531886199245,-5.603744416713158,1.0746548855488585,10402.79786959107,8308.893735662667,-267.1489746017548,-2616.7158284369884,-9448.93772700695,267.72438276619823
45,3888709.8776702574,-354697457.1549198,653591293.7153496,-182866.7504600233,449310329734.76556,-615383220509.1783,-7507989727.621464,-1369462604088.907,304373461511.3756,49197453578.446884,-9.621497227670883,-5.6037922152475,1.0746543112284044,10391.188557556312,8324.823595643185,-266.9552457547906,-2611.033574053435,-9450.200065173167,267.52022722391536
46,3975125.6527295965,-355528904.79515105,653107035.6038798,-89999.69010911218,450207789932.20905,-614663136583.3267,-7531050481.605911,-1369687993046.518,303556760728.5499,49220562722.40564,-9.621462492338253,-5.6038399676821,1.074653734995082,10379.553668866945,8340.738063788847,-266.76087908394106,-2605.350914962525,-9451.458898666211,267.3159951016062
47,4061541.4277889356,-356360349.4303804,652622773.3678347,2867.3203634521924,451104243585.70514,-613941678060.2324,-7554094411.669396,-1369912890915.4006,302739951314.06757,49243654214.18451,-9.621427680253946,-5.603887673883756,1.0746531568495123,10367.893221058428,8356.63709575374,-266.56587479704586,-2599.667853389375,-9452.714227661812,267.11168649078047
48,4147957.2028482743,-357191791.05397236,652138507.0112184,95734.28079232015,451999688485.60394,-613218846276.8384,-7577121462.678193,-1370137297660.8706,301923033570.80304,49266728047.176994,-9.621392791470791,-5.603935333719321,1.0746525767923218,10356.207231748625,8372.52064720801,-266.3702331038594,-2593.9843915584115,-9453.966052337135,266.9073014829454
49,4234372.977907614,-358023229.65929675,651654236.5380468,188601.1910122109,452894122423.9701,-612494642573.8481,-7600131579.521294,-1370361213248.4346,301106007801.6118,49289784214.78452,-9.62135782604187,-5.603982947055691,1.0746519948241426,10344.495718637807,8388.388673837851,-266.17395421605084,-2588.300531693369,-9455.214372870778,266.7028401696052
