,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317279635.81304246,675377398.1964381,-4362170.223031592,407918937299.9301,-646343375852.2056,-6453739754.833488,-1358812424239.5225,341007650429.8354,48139378182.89319,-9.263528636829133,-3.353479694711467,0.4062665509916873,10888.222862788312,7595.678379092216,-274.836126625255,-2867.627309351328,-9389.819182720801,276.35111270860335
1,86415.77505933905,-318080149.4711147,675087602.5019616,-4327062.405288833,408859399409.60046,-645686273659.033,-6477482785.972835,-1359059987826.422,340196160689.8036,48163250607.43852,-9.263497405685793,-3.353529389873029,0.40626606136435306,10877.754931286552,7612.241612207391,-274.6706385763612,-2861.9650735761015,-9391.235877722153,276.1504171902383
2,172831.5501186781,-318880660.42691594,674797802.5147768,-4291954.6299409345,409798955790.0331,-645027740721.6407,-6501211488.54569,-1359307062085.0964,339384548676.723,48187105685.23746,-9.263466095683432,-3.353579044796482,0.40626556980841433,10867.260737802773,7628.7914050051895,-274.50450741356167,-2856.302335202298,-9392.649060705546,275.949640969869
3,259247.32517801714,-319681168.67363316,674507998.2383667,-4256846.897154541,410737604172.37286,-644367778203.4045,-6524925806.982207,-1359553646972.2102,338572814694.0825,48210943409.32003,-9.26343470686342,-3.353628659348437,0.4062650763242421,10856.74029613935,7645.327713075447,-274.33773326150816,-2850.6390964843526,-9394.058731782548,275.74878413908283
4,345663.1002373562,-320481674.2044571,674218189.6762259,-4221739.207096265,411675342288.96405,-643706387271.5358,-6548625685.723465,-1359799742444.623,337760959045.36127,48234763772.72419,-9.263403239267374,-3.3536782333955055,0.40626458091221274,10846.193620180347,7661.850492008863,-274.1703162466833,-2844.9753596761057,-9395.464891066238,275.5478467894694
5,432078.8752966953,-321282177.01258683,673928376.8318579,-4186631.5599325737,412612167874.9189,-643043569096.2745,-6572311069.2599,-1360045348459.3909,336948982033.99445,48258566768.49644,-9.263371692937001,-3.353727766804623,0.4062640835727062,10835.620723839971,7678.359697503167,-274.0022564966874,-2839.311127029889,-9396.86753867122,275.3468290125848
6,518494.6503560343,-322082677.0912267,673638559.7087766,-4151523.955829856,413548078667.12067,-642379324851.2815,-6595981902.107388,-1360290464973.7666,336136883963.3938,48282352389.69152,-9.263340067914172,-3.353777259442875,0.4062635843061066,10825.021621085272,7694.855285306614,-273.8335541405123,-2833.6464007969953,-9398.266674713657,275.14573089997083
7,604910.4254153734,-322883174.43357515,673348738.3105121,-4116416.394954698,414483072400.5245,-641713655715.6127,-6619638128.716307,-1360535091945.1965,335324665137.0294,48306120629.37086,-9.263308364241293,-3.353826711176729,0.4062630831128074,10814.396326063614,7711.337210961215,-273.6642093103281,-2827.981183229896,-9399.66229931118,274.94455254324146
8,691326.2004747124,-323683669.03283465,673058912.6406058,-4081308.8774736472,415417146811.385,-641046562872.1688,-6643279693.550177,-1360779229331.3203,334512325858.35974,48329871480.60379,-9.263276581961021,-3.353876121872657,0.40626257999320786,10803.744853005845,7727.805430011205,-273.49422214018125,-2822.3154765804634,-9401.054412582906,274.7432940340125
9,777741.9755340514,-324484160.88221174,672769082.702611,-4046201.403553207,416350299637.3168,-640378047507.6648,-6666906541.087117,-1361022877089.972,333699866430.83044,48353604936.46758,-9.263244721116264,-3.3539254913971512,0.40626207494771277,10793.067216224406,7744.259898006998,-273.3235927659691,-2816.6492830999337,-9402.443014649443,274.54195546390025
10,864157.7505933905,-325284649.974917,672479248.5000921,-4011093.9733598377,417282528617.29376,-639708110812.6304,-6690518615.819848,-1361266035179.179,332887287157.8744,48377320990.04744,-9.263212781750166,-3.3539748196167216,0.4062615679767325,10782.363430113352,7760.700570505178,-273.15232132543974,-2810.9826050389115,-9403.828105632885,274.34053692452164
11,950573.5256527296,-326085136.304165,672189410.0366253,-3975986.5870599556,418213831491.64954,-639036753981.4095,-6714115862.25569,-1361508703557.1636,332074588342.9116,48401019634.436485,-9.263180763906128,-3.354024106397897,0.40626105908068294,10771.633509148322,7777.127403068512,-272.980407958192,-2805.315444647366,-9405.209685656813,274.139038507494
12,1036989.3007120686,-326885619.8631746,671899567.3157978,-3940879.244819934,419144206002.0774,-638363978212.1611,-6737698224.916561,-1361750882182.3413,331261770289.34955,48424700862.735794,-9.263148667627783,-3.3540733516072248,0.40626054825998553,10760.87746788657,7793.540351265939,-272.8078528056756,-2799.6478041746336,-9406.587754846298,273.9374603044352
13,1123405.0757714077,-327686100.64516854,671609720.3412087,-3905771.946806102,420073649891.6301,-637689784706.8582,-6761265648.338983,-1361992571013.3218,330448833300.5825,48448364668.05437,-9.26311649295902,-3.35412255511127,0.40626003551506723,10750.095320966942,7809.939370672575,-272.6346560111908,-2793.9796858694162,-9407.962313327893,273.7358024069636
