,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-317277757.6227797,675377763.7267282,-4362848.690395623,407918937049.05865,-646343372136.9495,-6453739656.293553,-1358812424731.7861,341007650299.63416,48139379784.97641,-9.810821640006523,-5.877233495846307,1.0110031120416367,10887.79052988011,7593.714483579477,-275.45699802344495,-2866.483822978257,-9391.986282312133,277.37633309695735
1,86415.77505933905,-318125566.02990603,674869875.8914678,-4275482.09402313,408859361798.3178,-645686439655.31,-6477536340.477351,-1359059889503.4116,340195973288.00433,48163340804.73285,-9.810790408860363,-5.877283191009845,1.0110026224102509,10877.322597453864,7610.27771732322,-275.2915086245582,-2860.8215867282934,-9393.402977569356,277.17563746612313
2,172831.5501186781,-318973371.7347608,674361983.7634987,-4188115.540046201,409798880818.1863,-645028076429.3533,-6501318695.859778,-1359306864946.7273,339384174003.28064,48187284477.72417,-9.810759098850168,-5.877332845938275,1.0110021308420505,10866.828401364495,7626.827511755421,-275.1253733756821,-2855.15884687638,-9394.8161613389,276.9748609246979
3,259247.32517801714,-319821174.73053074,673854087.3463037,-4100749.0286321915,410737491839.6648,-644368283622.3679,-6525086666.634521,-1359553351018.311,338572252748.90625,48211210796.96236,-9.810727710017302,-5.877382460498176,1.011001637337403,10856.307955411437,7643.363822455026,-274.95859240025067,-2849.4956056757114,-9396.225833730521,276.7740035642213
4,345663.1002373562,-320668975.0104068,673346186.6433767,-4013382.559948408,411675192595.18274,-643707062401.3646,-6548840197.011723,-1359799347674.9363,337760209828.30975,48235119755.46744,-9.81069624240335,-5.877432034556174,1.0110011418966807,10845.761273468515,7659.886605017303,-274.7911658234362,-2843.83186537876,-9397.631994855483,276.5730654762301
5,432078.8752966953,-321516772.56758857,672838281.6582206,-3926016.134161999,412611980820.06555,-643044413936.297,-6572579231.254185,-1360044854873.5725,336948045544.8729,48259011346.26806,-9.810664696049972,-5.877481567979253,1.011000644520259,10835.188369433248,7676.3958151568695,-274.62309377144317,-2838.1676282363824,-9399.034644826597,276.37204675222415
6,518494.6503560343,-322364567.395273,672330372.3943524,-3838649.7514402377,413547854248.68896,-642380339401.9479,-6596303713.583143,-1360289872571.3845,336135760202.01385,48282885562.39997,-9.810633070999256,-5.87753106063399,1.0110001452085222,10824.58925734669,7692.891408452028,-274.45437637312625,-2832.5028965000074,-9400.433783758173,276.17094748375143
7,604910.4254153734,-323212359.48665893,671822458.855302,-3751283.411950402,414482810616.1518,-641714839977.2118,-6620013588.218819,-1360534400725.7297,335323354103.1517,48306742396.90661,-9.810601367293591,-5.8775805123868565,1.01099964396186,10813.963951350013,7709.373340446462,-274.2850137594419,-2826.8376724207783,-9401.829411765997,275.96976776237454
8,691326.2004747124,-324060148.8349494,671314541.0446101,-3663917.115859727,415416847658.88885,-641047916844.8024,-6643708799.395398,-1360778439294.16,334510827551.69336,48330581842.83934,-9.810569584975612,-5.87762992310434,1.0109991407806678,10803.312465666071,7725.841566689247,-274.1150060632026,-2821.1719582492124,-9403.221528967344,275.7685076796569
9,777741.9755340514,-324907935.43335134,670806618.9658295,-3576550.8633354055,416349963114.6709,-640379571191.2526,-6667389291.361041,-1361021988234.4211,333698180851.03345,48354403893.25745,-9.810537724088201,-5.877679292652944,1.0109986356653464,10792.6348145994,7742.296042734858,-273.94435341907683,-2815.5057562352026,-9404.61013548098,275.567167327163
10,864157.7505933905,-325755719.27507573,670298692.622524,-3489184.6545445905,417282154722.60455,-639709804206.9144,-6691055008.377871,-1361265047504.453,332885414304.5546,48378208541.22816,-9.810505784674483,-5.87772862089919,1.0109981286163032,10781.931012536217,7758.736724143164,-273.77305596358906,-2809.8390686280154,-9405.995231427161,275.36574679645804
11,950573.5256527296,-326603500.35333765,669790762.0182693,-3401818.489654392,418213420223.1324,-639038617085.9591,-6714705894.72198,-1361507617062.3887,332072528215.62714,48401995779.82662,-9.810473766777829,-5.877777907709613,1.0109976196339499,10771.201073944425,7775.16356647943,-273.6011138351197,-2804.1718976762927,-9407.376816927628,275.1642461791083
12,1036989.3007120686,-327451278.66135603,669282827.1566522,-3314452.3688318785,419143757358.03296,-638366011026.3772,-6738341894.68343,-1361749696866.5564,331259522887.609,48425765602.1359,-9.810441670441854,-5.877827152950766,1.0109971087187044,10760.445013373606,7791.576525314315,-273.4285271739052,-2798.50424562805,-9408.754892105613,274.96266556668104
13,1123405.0757714077,-328299054.1923539,668774888.0412711,-3227086.2922440777,420073163870.4206,-637691987229.9781,-6761962952.566248,-1361991286875.4775,330446398623.84625,48449518001.24701,-9.810409495710422,-5.8778763564892165,1.0109965958709901,10749.662845455023,7807.975556223877,-273.255296122038,-2792.8361147306778,-9410.129457085837,274.7610050507442
14,1209820.8508307468,-329146826.9395582,668266944.675736,-3139720.2600579737,421001637504.74567,-637016546902.3906,-6785569012.688431,-1362232387047.8677,329633155727.6724,48473252970.258865,-9.81037724262764,-5.87792551819155,1.010996081091236,10738.854584901626,7824.360614789566,-273.08142082346643,-2787.1675072309417,-9411.500511994509,274.5592647228669
15,1296236.6258900857,-329994596.8962,667758997.063668,-3052354.2724405117,421929176006.7945,-636339691253.0627,-6809160019.381944,-1362472997342.636,328819794502.4092,48496970502.278336,-9.81034491123786,-5.8779746379243685,1.0109955643798767,10728.020246508044,7840.73165659823,-272.9069014239949,-2781.4984253749803,-9412.868056959327,274.35744467461905
16,1382652.4009494248,-330842364.05551434,667251045.2087003,-2964988.3295585928,422855777123.6892,-635661421495.2612,-6832735916.992717,-1362713117718.8865,328006315251.36566,48520670590.420204,-9.810312501585678,-5.878023715554287,1.0109950457373524,10717.159845150589,7857.088637242112,-272.7317380712838,-2775.8288714083087,-9414.232092109476,274.1555449975716
17,1469068.176008764,-331690128.41074014,666743089.1144769,-2877622.4315790776,423781438603.8879,-634981738846.0726,-6856296649.880651,-1362952748135.9163,327192718277.83905,48544353227.80718,-9.810280013715941,-5.878072750947939,1.0109945251641084,10706.273395787253,7873.431512318849,-272.5559309148495,-2770.158847575815,-9415.592617575634,273.9535657832963
18,1555483.9510681028,-332537889.9551205,666235128.7846538,-2790256.5786687853,424706158197.1847,-634300644526.4022,-6879842162.419615,-1363191888553.2168,326379003885.1142,48568018407.56991,-9.810247447673735,-5.878121743971975,1.0109940026605964,10695.360913457715,7889.7602374314765,-272.37948010606436,-2764.488356121762,-9416.949633489963,273.75150712336597
19,1641899.726127442,-333385648.68190247,665727164.222898,-2702890.770994492,425629933654.7095,-633618139760.9746,-6903372398.997442,-1363430538930.4731,325565172376.46375,48591666122.846954,-9.810214803504394,-5.878170694493059,1.010993478227273,10684.422413283331,7906.074768188425,-272.20238579815674,-2758.8173992897878,-9418.303139986117,273.5493691093542
20,1728315.501186781,-334233404.58433706,665219195.4328884,-2615525.008722934,426552762728.92816,-632934225778.3335,-6926887304.015938,-1363668699227.565,324751224055.1482,48615296366.78481,-9.8101820812535,-5.878219602377873,1.0109929518646006,10673.457910467145,7922.375060203518,-272.02464814621084,-2753.1459793229046,-9419.65313719924,273.34715183283555
21,1814731.27624612,-335081157.6556793,664711222.4183152,-2528159.2920208042,427474643173.6425,-632248903810.8417,-6950386821.890873,-1363906369404.5652,323937159224.41583,48638909132.5379,-9.810149280966874,-5.8782684674931165,1.0109924235730474,10662.467420293879,7938.661069095978,-271.846267307167,-2747.474098463499,-9420.99962526596,273.14485538538565
22,1901147.051305459,-335928907.88918823,664203245.1828799,-2440793.6210547555,428395572743.99036,-631562175094.6814,-6973870897.051987,-1364143549421.7415,323122978187.50275,48662504413.268585,-9.810116402690587,-5.8783172897055005,1.0109918933530866,10651.450958129935,7954.93275049042,-271.6672434398216,-2741.8017589533324,-9422.342604324396,272.94247985858084
23,1987562.8263647982,-336776655.2781269,663695263.7302958,-2353427.9959913976,429315549196.44525,-630874040869.8539,-6997339473.9429865,-1364380239239.5544,322308681247.63275,48686082202.14713,-9.810083446470957,-5.878366068881757,1.0109913612051977,10640.408539423408,7971.190060016858,-271.4875767048269,-2736.1289630335405,-9423.682074514158,272.7400253439986
24,2073978.6014241371,-337624399.8157624,663187278.0642873,-2266062.4169973014,430234570288.81683,-630184502380.1794,-7020792497.021546,-1364616438818.6597,321494268708.0176,48709642492.35175,-9.81005041235454,-5.8784148048886316,1.010990827129865,10629.34017970406,7987.432953310699,-271.30726726469106,-2730.4557129446334,-9425.01803597634,272.5374919332172
25,2160394.3764834763,-338472141.4953658,662679288.1885908,-2178696.884238991,431152633780.25055,-629493560873.2977,-7044229910.75931,-1364852148119.906,320679740871.8566,48733185277.06857,-9.810017300388147,-5.878463497592887,1.0109902911275794,10618.24589458335,8003.661386012746,-271.12631528377847,-2724.7820109264962,-9426.350488853532,272.33487971781585
26,2246810.1515428154,-339319880.3102121,662171294.1069534,-2091331.3978829538,432069737431.2279,-628801217600.6675,-7067651659.641889,-1365087367104.3367,319865098042.33716,48756710549.49167,-9.809984110618828,-5.878512146861301,1.010989753198836,10607.125699754406,8019.8753137692,-270.94472092830927,-2719.107859218388,-9427.679433289804,272.1321887893747
27,2333225.9266021545,-340167616.25358045,661663295.8231344,-2003965.9580956325,432985879003.56616,-628107473817.5665,-7091057688.16886,-1365322095733.1882,319050340522.6343,48780218302.82301,-9.809950843093876,-5.878560752560668,1.010989213344137,10595.97961099205,8036.074692231654,-270.7624843663597,-2713.4332600589432,-9429.004869430722,271.9294192394749
28,2419641.7016614936,-341015349.3187539,661155293.3409044,-1916600.5650434298,433901056260.41864,-627412330783.092,-7114447940.853771,-1365556333967.892,318235468615.9108,48803708530.27253,-9.80991749786084,-5.8786093145578,1.0109886715639889,10584.807644152777,8052.259477057099,-270.57960576786195,-2707.75821568617,-9430.326797423339,271.72657115969844
29,2506057.4767208323,-341863079.4990195,660647286.664045,-1829235.2188927066,434815266966.2745,-626715789760.1602,-7137822362.224137,-1365790081770.0732,317420482625.31744,48827181225.05807,-9.809884074967501,-5.878657832719524,1.0109881278589044,10573.609815174772,8068.42962390792,-270.3960853046043,-2702.082728337451,-9431.645217416191,271.52364464162827
30,2592473.2517801714,-342710806.7876684,660139275.7963499,-1741869.9198097815,435728508886.9589,-626017852015.5065,-7161180896.821439,-1366023339101.55,316605382853.99255,48850636380.405396,-9.809850574461896,-5.878706306912682,1.0109875822294014,10562.386140077895,8084.5850884519,-270.21192315023086,-2696.406800249544,-9432.960129559313,271.3206397768482
31,2678889.0268395105,-343558531.1779957,659631260.7416239,-1654504.6679609306,436640779789.6329,-625318518819.6853,-7184523489.201127,-1366256105924.336,315790169605.0624,48874073989.54821,-9.8098169963923,-5.878754737004133,1.0109870346760041,10551.136634963692,8100.725826362216,-270.0271194802418,-2690.730433658581,-9434.27153400422,271.1175566569432
32,2765304.8018988497,-344406252.66330045,659123241.5036834,-1567139.4635123904,437552077442.7934,-624617791447.0707,-7207850083.93262,-1366488382200.6372,314974843181.64105,48897494045.728134,-9.80978334080724,-5.878803122860754,1.0109864851992418,10539.861316015395,8116.851793317441,-269.8416744719934,-2685.053630800069,-9435.57943090392,270.9143953734988
33,2851720.576958189,-345253971.2368858,658615218.0863562,-1479774.3066303544,438462399616.2733,-623915671175.8553,-7231160625.599304,-1366720167892.855,314159403886.8304,48920896542.19473,-9.809749607755483,-5.878851464349435,1.010985933799649,10528.560199497908,8132.962945001543,-269.6555883046976,-2679.3763939088885,-9436.883820412908,270.71115601810175
34,2938136.352017528,-346101686.8920588,658107190.4934816,-1392409.1974809757,439371744081.2415,-623212159288.0514,-7254455058.798532,-1366951462963.5837,313343852023.72,48944281472.20549,-9.809715797286044,-5.8788997613370855,1.0109853804777662,10517.23330175783,8149.0592371038865,-269.4688611594226,-2673.6987252192953,-9438.18470268717,270.50783868233964
35,3024552.127076867,-346949399.6221306,657599158.7289106,-1305044.1362303635,440280108610.20264,-622507257069.4901,-7277733328.141625,-1367182267375.6123,312528187895.3872,48967648829.0258,-9.809681909448182,-5.878948013690628,1.0109848252341398,10505.88063922343,8165.140625319231,-269.2814932190926,-2668.0206269649193,-9439.482077884177,270.30444345780097
36,3110967.9021362057,-347797109.4204163,657091122.7965051,-1217679.1230445877,441187490976.99744,-621800965809.8219,-7300995378.253874,-1367412581091.923,311712411804.89746,48990998605.929016,-9.809647944291402,-5.878996221277002,1.0109842680693208,10494.502228404668,8181.207065347731,-269.09348466848763,-2662.3421013787656,-9440.775946162896,270.1009704360752
37,3197383.677195545,-348644816.2802718,656583082.7001176,-1130314.1580887581,442093888969.0771,-621093286795.3458,-7324241154.080113,-1367642404075.6753,310896524055.03284,49014330796.200386,-9.809613901864195,-5.879044383965429,1.0109837089838485,10483.098085474052,8197.258513648858,-268.90483568799823,-2656.663150686759,-9442.066307683386,269.8974197084893
38,3283799.452254884,-349492520.1950625,656075038.4436084,-1042949.2415278128,442999300376.93585,-620384221315.1323,-7347470600.621853,-1367871736290.2173,310080524948.5237,49037645393.13362,-9.80957978221512,-5.879092501625462,1.0109831479782634,10471.6682266261,8213.294926792883,-268.7155464589735,-2650.9837771132843,-9443.353162607129,269.69379136633324
39,3370215.227314223,-350340221.15810597,655566990.03088,-955584.3735279305,443903722975.298,-619673770672.1503,-7370683662.46836,-1368100577699.115,309264414788.46515,49060942390.024734,-9.809545585394762,-5.879140574123489,1.010982585053139,10460.212668730099,8229.31626029612,-268.52561717348783,-2645.303982891183,-9444.636511097588,269.4900855012682
40,3456631.002373562,-351187919.1627249,655058937.4658458,-868219.5542552266,444807154540.52856,-618961936173.1744,-7393880284.229769,-1368328928266.1252,308448193877.93524,49084221780.17764,-9.80951131145396,-5.879188601325931,1.0109820202090554,10448.731428740393,8245.322469686316,-268.33504802557246,-2639.623770252643,-9445.916353319666,269.28630220495404
41,3543046.7774329013,-352035614.20224714,654550880.752431,-780854.783875749,445709592850.7099,-618248719128.7415,-7417060410.538978,-1368556787955.1963,307631862519.9928,49107483556.90422,-9.809476960443801,-5.87923658309926,1.0109814534465973,10437.224523693783,8261.313510507342,-268.1438392111771,-2633.943141429163,-9447.192689439706,269.0824415690482
42,3629462.55249224,-352883306.27000564,654042819.8945719,-693490.062555477,446611035685.64105,-617534120853.1493,-7440223986.051646,-1368784156730.468,306815421017.6777,49130727713.52426,-9.80944253241562,-5.879284519309993,1.0109808847663555,10425.691970709533,8277.289338319168,-267.9519909281698,-2628.26209865155,-9448.465519625483,268.87850368520566
43,3715878.327551579,-353730995.3593385,653534754.8962159,-606125.3904603212,447511480826.83813,-616818142664.4578,-7463370955.446196,-1369011034556.2715,305998869674.0108,49153954243.36553,-9.809408027421,-5.879332409824698,1.0109803141689269,10414.133786989363,8293.249908697884,-267.75950337633697,-2622.58064414992,-9449.734844046216,268.67448864507855
44,3802294.102610918,-354578681.4635891,653026685.761322,-518760.7677561253,448410926057.5343,-616100785884.4883,-7486501263.42381,-1369237421397.1292,305182208791.9941,49177163139.76371,-9.809373445511772,-5.87938025450999,1.0109797416549138,10402.549989817453,8309.195177235684,-267.56637675738347,-2616.8987801536973,-9451.000662872553,268.47039654031664
45,3888709.8776702574,-355426364.5761057,652518612.4938604,-431396.1946086644,449309369162.6795,-615382051838.824,-7509614854.708433,-1369463317217.7546,304365438674.6104,49200354396.06244,-9.809338786740014,-5.879428053232533,1.0109791672249242,10390.940596560447,8325.125099540881,-267.3726112749324,-2611.2165088916167,-9452.26297627659,268.2662274625671
46,3975125.6527295965,-356274044.690242,652010535.0978125,-344031.6711836456,450206807928.941,-614661941856.8092,-7532711674.046772,-1369688721983.053,303548559624.82355,49223528005.613304,-9.809304051158053,-5.879475805859038,1.0109785908795725,10379.305624667446,8341.039631237893,-267.1782071345255,-2605.533832591721,-9453.521784431852,268.06198150347444
47,4061541.4277889356,-357121721.7993567,651502453.5771712,-256667.197646708,451103240144.7026,-613940457271.5505,-7555791666.208298,-1369913635658.1213,302731571945.5785,49246683961.77581,-9.809269238818459,-5.879523512256267,1.0109780126194783,10367.64509167001,8356.93872796725,-266.9831645436226,-2599.8507534813625,-9454.777087513303,267.85765875468076
48,4147957.2028482743,-357969395.89681363,650994367.9359405,-169302.77416342287,451998663600.0654,-613217599419.9159,-7578854775.985239,-1370138058208.247,301914475939.80096,49269822257.91743,-9.809234349774057,-5.879571172291027,1.010977432445267,10355.959015182165,8372.822345385597,-266.787483711602,-2594.167273787202,-9456.028885697346,267.6532593078254
49,4234372.977907614,-358817066.9759819,650486278.1781359,-81938.40089929174,452893076086.8475,-612493369642.5347,-7601900948.192591,-1370361989598.9097,301097271910.39795,49292942887.41356,-9.809199384077914,-5.879618785830176,1.0109768503575696,10344.247412900388,8388.690439165684,-266.5911648497606,-2588.4833957352084,-9457.27717916182,267.4487832545452
