,time,r_A_x,r_A_y,r_A_z,r_B_x,r_B_y,r_B_z,r_C_x,r_C_y,r_C_z,v_A_x,v_A_y,v_A_z,v_B_x,v_B_y,v_B_z,v_C_x,v_C_y,v_C_z
0,0.0,-1191989205.285392,-434765437.02925617,31461244.54779253,521378868419.1695,531392117335.0978,-13869271614.268723,1344601253411.9377,-556364183248.5546,-43861164851.25002,8.441016159655653,-12.219121551587483,-0.07918737699351246,-9472.749551232377,9769.723278798498,171.34826876278495,3154.7383296389708,8905.697033811053,-280.01741642456375
1,3154.3154315431543,-1191962321.7667735,-434803748.2811161,31460987.740388785,521348743865.1815,531422680945.34595,-13868724605.88497,1344611118993.802,-556336056818.0938,-43862045321.83333,8.441567303298052,-12.218626347286449,-0.07920239115179034,-9473.272112223027,9769.182199360666,171.36220698393862,3154.5557159320742,8905.771937748934,-280.01144880248347
2,6308.630863086309,-1191935438.248155,-434842059.53297615,31460730.932985038,521318619311.19354,531453244555.5942,-13868177597.501219,1344620984575.6665,-556307930387.6328,-43862925792.41663,8.442118446940453,-12.218131142985417,-0.07921740531006823,-9473.794673213675,9768.641119922835,171.37614520509229,3154.373102225178,8905.846841686813,-280.00548118040325
3,9462.946294629462,-1191908554.7295365,-434880370.7848361,31460474.125581287,521288494757.20557,531483808165.8424,-13867630589.117468,1344630850157.531,-556279803957.172,-43863806262.99994,8.442669590582852,-12.217635938684383,-0.07923241946834612,-9474.317234204324,9768.100040485004,171.39008342624595,3154.1904885182817,8905.921745624693,-279.999513558323
4,12617.261726172617,-1191881671.2109182,-434918682.03669614,31460217.31817754,521258370203.2176,531514371776.09064,-13867083580.733717,1344640715739.3953,-556251677526.711,-43864686733.58325,8.443220734225253,-12.21714073438335,-0.07924743362662401,-9474.839795194974,9767.558961047172,171.40402164739962,3154.0078748113856,8905.996649562574,-279.99354593624275
5,15771.577157715772,-1191854787.6922996,-434956993.28855616,31459960.510773793,521228245649.2297,531544935386.33887,-13866536572.349966,1344650581321.2598,-556223551096.2502,-43865567204.16656,8.443771877867654,-12.216645530082316,-0.0792624477849019,-9475.362356185622,9767.017881609341,171.41795986855328,3153.825261104489,8906.071553500455,-279.9875783141625
6,18925.892589258925,-1191827904.1736813,-434995304.5404161,31459703.703370042,521198121095.2417,531575498996.58704,-13865989563.966215,1344660446903.1243,-556195424665.7894,-43866447674.74986,8.444323021510053,-12.216150325781282,-0.07927746194317978,-9475.88491717627,9766.47680217151,171.43189808970695,3153.642647397593,8906.146457438335,-279.98161069208226
7,22080.20802080208,-1191801020.6550627,-435033615.79227614,31459446.895966295,521167996541.2537,531606062606.83527,-13865442555.582464,1344670312484.9885,-556167298235.3285,-43867328145.333176,8.444874165152454,-12.215655121480248,-0.07929247610145768,-9476.40747816692,9765.935722733679,171.4458363108606,3153.4600336906965,8906.221361376214,-279.975643070002
8,25234.523452345235,-1191774137.1364443,-435071927.0441361,31459190.08856255,521137871987.26575,531636626217.0835,-13864895547.198713,1344680178066.853,-556139171804.8677,-43868208615.91648,8.445425308794853,-12.215159917179216,-0.07930749025973556,-9476.930039157569,9765.394643295847,171.45977453201428,3153.2774199838004,8906.296265314095,-279.96967544792176
9,28388.838883888387,-1191747253.6178257,-435110238.2959961,31458933.281158797,521107747433.2778,531667189827.3317,-13864348538.81496,1344690043648.7175,-556111045374.4067,-43869089086.49979,8.445976452437254,-12.214664712878182,-0.07932250441801345,-9477.452600148217,9764.853563858016,171.47371275316794,3153.094806276904,8906.371169251976,-279.9637078258415
10,31543.154315431544,-1191720370.0992074,-435148549.54785615,31458676.47375505,521077622879.28986,531697753437.5799,-13863801530.43121,1344699909230.582,-556082918943.9459,-43869969557.08309,8.446527596079653,-12.214169508577148,-0.07933751857629134,-9477.975161138867,9764.312484420185,171.4876509743216,3152.912192570008,8906.446073189856,-279.95774020376126
11,34697.4697469747,-1191693486.5805888,-435186860.7997161,31458419.666351303,521047498325.3019,531728317047.8281,-13863254522.047459,1344709774812.4463,-556054792513.4851,-43870850027.666405,8.447078739722054,-12.213674304276115,-0.07935253273456923,-9478.497722129516,9763.771404982353,171.50158919547528,3152.7295788631113,8906.520977127737,-279.951772581681
12,37851.78517851785,-1191666603.0619705,-435225172.05157614,31458162.858947553,521017373771.3139,531758880658.07635,-13862707513.663708,1344719640394.3108,-556026666083.0242,-43871730498.24971,8.447629883364453,-12.21317909997508,-0.07936754689284711,-9479.020283120166,9763.230325544522,171.51552741662894,3152.5469651562153,8906.595881065616,-279.94580495960076
13,41006.100610061,-1191639719.543352,-435263483.3034361,31457906.051543806,520987249217.3259,531789444268.3246,-13862160505.279957,1344729505976.1753,-555998539652.5634,-43872610968.833015,8.448181027006854,-12.212683895674047,-0.07938256105112501,-9479.542844110814,9762.689246106691,171.5294656377826,3152.3643514493187,8906.670785003496,-279.9398373375205
14,44160.41604160416,-1191612836.0247335,-435301794.5552961,31457649.24414006,520957124663.338,531820007878.57275,-13861613496.896206,1344739371558.0396,-555970413222.1025,-43873491439.41632,8.448732170649253,-12.212188691373015,-0.0793975752094029,-9480.065405101463,9762.14816666886,171.54340385893627,3152.1817377424227,8906.745688941377,-279.93386971544027
15,47314.731473147316,-1191585952.506115,-435340105.80715615,31457392.436736308,520927000109.35004,531850571488.821,-13861066488.512455,1344749237139.904,-555942286791.6416,-43874371909.99963,8.449283314291653,-12.211693487071981,-0.07941258936768078,-9480.587966092113,9761.607087231028,171.55734208008994,3151.999124035526,8906.820592879258,-279.92790209336
16,50469.04690469047,-1191559068.9874964,-435378417.0590161,31457135.62933256,520896875555.36206,531881135099.0692,-13860519480.128704,1344759102721.7686,-555914160361.1808,-43875252380.58294,8.449834457934053,-12.211198282770948,-0.07942760352595868,-9481.110527082761,9761.066007793197,171.5712803012436,3151.81651032863,8906.895496817137,-279.92193447127977
17,53623.36233623362,-1191532185.468878,-435416728.31087613,31456878.821928814,520866751001.3741,531911698709.31744,-13859972471.744951,1344768968303.6328,-555886033930.7198,-43876132851.166245,8.450385601576453,-12.210703078469914,-0.07944261768423656,-9481.63308807341,9760.524928355366,171.58521852239727,3151.6338966217336,8906.970400755017,-279.9159668491995
18,56777.677767776775,-1191505301.9502594,-435455039.5627361,31456622.014525063,520836626447.3861,531942262319.5657,-13859425463.3612,1344778833885.4973,-555857907500.259,-43877013321.74955,8.450936745218852,-12.21020787416888,-0.07945763184251445,-9482.15564906406,9759.983848917534,171.59915674355094,3151.4512829148375,8907.045304692898,-279.9099992271193
